Andromeda,AND,0.807666666666667,37.4318333333333
Antlia,ANT,10.2738333333333,-31.5165
Apus,APS,16.1441666666667,-74.7
Aquarius,AQR,22.2896666666667,-8.5
Aquila,AQL,19.667,3.41083333333333
Ara,ARA,17.3748333333333,-55.4116666666667
Aries,ARI,2.636,20.7923333333333
Auriga,AUR,6.07366666666667,42.028
Bootes,BOO,14.7106666666667,31.2026666666667
Caelum,CAE,4.7045,-38.2
Camelopardalis,CAM,6.000,72.000
Cancer,CNC,8.64933333333333,21
Canes Venatici,CVN,13.116,40.1018333333333
Canis Major,CMA,6.829,-21.8596666666667
Canis Minor,CMI,7.65283333333333,6.42716666666667
Capricornus,CAP,21.0488333333333,-19
Carina,CAR,8.695,-62.7806666666667
Cassiopeia,CAS,1.31933333333333,62.184
Centaurus,CEN,13.0711666666667,-46.6546666666667
Cepheus,CEP,22,71.0085
Cetus,CET,1.66833333333333,-6.82066666666667
Chamaeleon,CHA,10.6921666666667,-78.795
Circinus,CIR,14.4,-66.5
Columba,COL,5.86266666666667,-34.9055
Coma Berenices,COM,12.7878333333333,23.3056666666667
Corona Australis,CRA,18.6465,-40.8525
Corona Borealis,CRB,15.8431666666667,30.6
Corvus,CRV,12.442,-17.5633333333333
Crater,CRT,11.3958333333333,-14.071
Crux,CRU,12.4498333333333,-59.8135
Cygnus,CYG,20.588,44.545
Delphinus,DEL,20.6935,11.671
Dorado,DOR,5.05,-58.613
Draco,DRA,15.0,62.0
Equuleus,EQU,21.21,7.75816666666667
Eridanus,ERI,4.0,-23
Fornax,FOR,2.798,-30.3655
Gemini,GEM,7.07066666666667,24.6
Grus,GRU,22.4565,-45.6481666666667
Hercules,HER,17.386,27.4988333333333
Horologium,HOR,3.276,-50.4
Hydra,HYA,11.6121666666667,-28.0
Hydrus,HYI,2.34416666666667,-72
Indus,IND,21.3,-55
Lacerta,LAC,22.4613333333333,46.0418333333333
Leo,LEO,10.6671666666667,13.1386666666667
Leo Minor,LMI,10.2453333333333,35
Lepus,LEP,5.56583333333333,-18.9536666666667
Libra,LIB,15.1993333333333,-14.7653333333333
Lupus,LUP,15.5,-41.2911666666667
Lynx,LYN,7.99216666666667,47.4666666666667
Lyra,LYR,18.8528333333333,36.6893333333333
Mensa,MEN,5.415,-76.496
Microscopium,MIC,20.9646666666667,-35.7251666666667
Monoceros,MON,7.0605,-2.2
Musca,MUS,12.588,-69.839
Norma,NOR,15.903,-50.6485
Octans,OCT,21,-81.848
Ophiuchus,OPH,17.3948333333333,-6.08766666666667
Orion,ORI,5.5765,5.949
Pavo,PAV,19.6118333333333,-64.2185
Pegasus,PEG,22.6973333333333,19.4663333333333
Perseus,PER,3.175,45.0131666666667
Phoenix,PHE,0.931833333333333,-47.4193333333333
Pictor,PIC,5.70766666666667,-52.5258333333333
Pisces,PSC,0.482833333333333,13.6871666666667
Piscis Austrinus,PSA,22.2845,-29.3578333333333
Puppis,PUP,7.5,-35.0
Pyxis,PYX,8.95266666666667,-26.6483333333333
Reticulum,RET,3.92116666666667,-62
Sagitta,SGE,19.6508333333333,18
Sagittarius,SGR,19.099,-27.5231666666667
Scorpius,SCO,17,-32.0
Sculptor,SCL,0.438,-31.9116666666667
Scutum,SCT,18.6731666666667,-8.11133333333333
Serpens Caput,SER1,15.69,10
Serpens Cauda,SER2,17.75,-13.6
Sextans,SEX,10.2715,-1.38533333333333
Taurus,TAU,4.0,14.8771666666667
Telescopium,TEL,19.3256666666667,-50.9631666666667
Triangulum,TRI,2.1845,31.476
Triangulum Australe,TRA,16.0825,-66
Tucana,TUC,23.7773333333333,-64.17
Ursa Major,UMA,11.3126666666667,50.7211666666667
Ursa Minor,UMI,15,77.6998333333333
Vela,VEL,9.57733333333333,-46.8328333333333
Virgo,VIR,13.4065,-3.8415
Volans,VOL,7.7955,-68.1988333333333
Vulpecula,VUL,20.2313333333333,24.4426666666667
